Date,CPI_forecast,CPI_lower_95,CPI_upper_95
2025-10-01,198.28628615591657,196.74238196485794,199.8301903469752
2025-11-01,198.82541748773838,196.2569849818777,201.39384999359905
2025-12-01,198.16047525440854,194.87261106585575,201.44833944296133
2026-01-01,197.6857445396422,193.80975997962335,201.56172909966105
2026-02-01,197.60621096605755,193.22033392583063,201.99208800628446
2026-03-01,197.83189510084674,192.99038317328592,202.67340702840755
2026-04-01,198.927230677247,193.6694214304778,204.1850399240162
2026-05-01,199.85686843846446,194.21338738453056,205.50034949239836
2026-06-01,201.22397419355863,195.21954260207474,207.22840578504253
2026-07-01,203.34330082288898,196.99841949480188,209.68818215097608
2026-08-01,203.9787223548269,197.31075119425577,210.64669351539806
2026-09-01,204.25078249272053,197.274668981133,211.22689600430806
